Date Time Inlet_Pressure Outlet_Pressure Confining_Pressure Temperature
17.11.2020 07:49:08 86.85 8.3 202.5 13.4
17.11.2020 07:49:18 86.76 8.35 202.48 13.4
17.11.2020 07:49:28 86.68 8.43 202.48 13.4
17.11.2020 07:49:38 86.61 8.5 202.46 13.4
17.11.2020 07:49:48 86.53 8.56 202.48 13.5
17.11.2020 07:49:58 86.45 8.62 202.45 13.5
17.11.2020 07:50:08 86.38 8.7 202.48 13.5
17.11.2020 07:50:18 86.3 8.76 202.46 13.5
17.11.2020 07:50:28 86.23 8.82 202.46 13.5
17.11.2020 07:50:38 86.18 8.88 202.45 13.5
17.11.2020 07:50:48 86.11 8.96 202.45 13.5
17.11.2020 07:50:58 86.02 9.01 202.45 13.4
17.11.2020 07:51:08 85.95 9.09 202.45 13.4
17.11.2020 07:51:18 85.9 9.15 202.45 13.4
17.11.2020 07:51:28 85.82 9.22 202.45 13.4
17.11.2020 07:51:38 85.75 9.29 202.45 13.4
17.11.2020 07:51:48 85.67 9.35 202.45 13.4
17.11.2020 07:51:58 85.6 9.4 202.45 13.4
17.11.2020 07:52:08 85.52 9.48 202.45 13.4
17.11.2020 07:52:18 85.42 9.54 202.45 13.4
17.11.2020 07:52:28 85.38 9.61 202.45 13.4
17.11.2020 07:52:38 85.32 9.68 202.45 13.4
17.11.2020 07:52:48 85.22 9.74 202.45 13.4
17.11.2020 07:52:58 85.17 9.79 202.45 13.4
17.11.2020 07:53:08 85.1 9.87 202.45 13.4
17.11.2020 07:53:18 85.05 9.92 202.45 13.4
17.11.2020 07:53:28 84.96 9.99 202.43 13.4
17.11.2020 07:53:38 84.9 10.05 202.45 13.4
17.11.2020 07:53:48 84.81 10.11 202.43 13.4
17.11.2020 07:53:58 84.76 10.18 202.45 13.4
17.11.2020 07:54:08 84.66 10.24 202.43 13.4
17.11.2020 07:54:18 84.6 10.31 202.43 13.4
17.11.2020 07:54:28 84.56 10.36 202.43 13.4
17.11.2020 07:54:38 84.45 10.43 202.42 13.4
17.11.2020 07:54:48 84.37 10.49 202.43 13.4
17.11.2020 07:54:58 84.35 10.54 202.43 13.4
17.11.2020 07:55:08 84.26 10.63 202.42 13.4
17.11.2020 07:55:18 84.16 10.7 202.42 13.4
17.11.2020 07:55:28 84.11 10.74 202.42 13.4
17.11.2020 07:55:38 84.06 10.81 202.42 13.4
17.11.2020 07:55:48 83.97 10.87 202.4 13.4
