Date Time Temperature Temperature_Out Temperature_In Inlet_Pressure Outlet_Pressure Confining_Pressure_Reactor Confining_Pressure_Sample
27.01.2023 10:11:23 14 13.9 14 11.05 0.02 21.45 12.64
27.01.2023 10:11:33 14 13.9 14.1 11.05 0.018 21.45 12.64
27.01.2023 10:11:43 14 13.9 14.1 11.06 0.018 21.45 12.64
27.01.2023 10:11:53 14 13.9 14 11.05 0.015 21.45 12.64
27.01.2023 10:12:03 14 13.9 14.1 11.06 0.018 21.45 12.64
27.01.2023 10:12:13 14 13.9 14.1 11.05 0.022 21.45 12.63
27.01.2023 10:12:23 14 13.9 14.1 11.05 0.016 21.44 12.64
27.01.2023 10:12:33 14 13.9 14.1 11.05 0.022 21.44 12.63
27.01.2023 10:12:43 14 13.9 14 11.04 0.022 21.44 12.64
27.01.2023 10:12:53 14 13.9 14.1 11.04 0.02 21.44 12.63
27.01.2023 10:13:03 14 13.9 14.1 11.04 0.024 21.45 12.63
27.01.2023 10:13:13 14 13.9 14.1 11.05 0.022 21.44 12.63
27.01.2023 10:13:23 14 13.9 14.1 11.04 0.022 21.44 12.63
27.01.2023 10:13:33 14 13.9 14 11.03 0.018 21.44 12.63
27.01.2023 10:13:43 13.9 13.9 14.1 11.02 0.022 21.44 12.63
27.01.2023 10:13:53 14 13.9 14.1 11.04 0.024 21.43 12.63
27.01.2023 10:14:03 14 13.9 14.1 11.02 0.028 21.43 12.63
27.01.2023 10:14:13 14 13.9 14.1 11.03 0.02 21.44 12.63
27.01.2023 10:14:23 14 13.9 14.1 11.02 0.024 21.43 12.63
27.01.2023 10:14:33 13.9 13.9 14.1 11.04 0.028 21.43 12.63
27.01.2023 10:14:43 13.9 13.9 14.1 11.03 0.03 21.44 12.63
27.01.2023 10:14:53 14 13.9 14.1 11.01 0.026 21.43 12.63
27.01.2023 10:15:03 14 13.9 14.1 11.02 0.028 21.44 12.63
27.01.2023 10:15:13 14 13.9 14.1 11.03 0.028 21.43 12.63
27.01.2023 10:15:23 13.9 13.9 14.1 11.02 0.03 21.43 12.63
27.01.2023 10:15:33 13.9 13.9 14.1 11.01 0.026 21.43 12.63
27.01.2023 10:15:43 13.9 13.9 14.1 11.02 0.031 21.43 12.63
27.01.2023 10:15:53 13.9 13.9 14.1 11 0.031 21.43 12.63
27.01.2023 10:16:03 14 13.9 14.1 11.01 0.031 21.43 12.63
27.01.2023 10:16:13 13.9 13.9 14.1 11.01 0.03 21.43 12.63
27.01.2023 10:16:23 13.9 13.9 14.1 11 0.033 21.43 12.63
27.01.2023 10:16:33 13.9 13.9 14.1 11.01 0.03 21.43 12.63
27.01.2023 10:16:43 13.9 13.9 14.1 11 0.03 21.43 12.63
27.01.2023 10:16:53 13.9 13.9 14.1 11 0.031 21.43 12.63
27.01.2023 10:17:03 13.9 13.9 14.1 11 0.033 21.43 12.63
27.01.2023 10:17:13 13.9 13.9 14.1 11 0.035 21.43 12.63
27.01.2023 10:17:23 13.9 13.9 14.1 11 0.037 21.43 12.63
27.01.2023 10:17:33 13.9 13.9 14.1 11.01 0.035 21.43 12.63
27.01.2023 10:17:43 13.9 13.9 14.1 10.99 0.039 21.43 12.63
27.01.2023 10:17:53 13.9 13.9 14.1 10.99 0.037 21.43 12.62
27.01.2023 10:18:03 13.9 13.9 14.1 10.99 0.039 21.43 12.62
27.01.2023 10:18:13 13.9 13.9 14.1 10.98 0.039 21.43 12.62
27.01.2023 10:18:23 13.9 13.9 14.1 10.99 0.035 21.43 12.62
27.01.2023 10:18:33 14 13.9 14.1 10.98 0.039 21.43 12.62
27.01.2023 10:18:43 14 13.9 14.1 10.98 0.037 21.42 12.62
27.01.2023 10:18:53 13.9 13.9 14.1 10.98 0.041 21.43 12.62
27.01.2023 10:19:03 13.9 13.9 14.1 10.98 0.043 21.42 12.62
27.01.2023 10:19:13 13.9 13.9 14.1 10.96 0.043 21.42 12.62
27.01.2023 10:19:23 13.9 13.9 14.1 10.98 0.041 21.43 12.62
27.01.2023 10:19:33 13.9 13.9 14.1 10.96 0.045 21.41 12.62
27.01.2023 10:19:43 13.9 13.9 14.1 10.97 0.045 21.42 12.62
27.01.2023 10:19:53 13.9 13.9 14.1 10.98 0.046 21.42 12.62
27.01.2023 10:20:03 13.9 13.9 14.1 10.98 0.045 21.42 12.62
27.01.2023 10:20:13 13.9 13.9 14.1 10.96 0.045 21.42 12.62
27.01.2023 10:20:23 13.9 13.9 14.1 10.97 0.046 21.42 12.62
27.01.2023 10:20:33 13.9 13.9 14.1 10.96 0.046 21.42 12.62
27.01.2023 10:20:43 13.9 13.9 14.1 10.96 0.048 21.42 12.61
27.01.2023 10:20:53 13.9 13.9 14 10.96 0.045 21.42 12.62
27.01.2023 10:21:03 13.9 13.9 14.1 10.96 0.046 21.42 12.62
27.01.2023 10:21:13 13.9 14 14.1 10.96 0.046 21.42 12.61
27.01.2023 10:21:23 13.9 13.9 14.1 10.97 0.05 21.42 12.61
27.01.2023 10:21:33 13.9 13.9 14.1 10.96 0.052 21.42 12.62
27.01.2023 10:21:43 13.9 13.9 14.1 10.95 0.045 21.42 12.62
27.01.2023 10:21:53 13.9 13.9 14.1 10.96 0.054 21.42 12.61
27.01.2023 10:22:03 13.9 13.9 14.1 10.95 0.052 21.41 12.61
27.01.2023 10:22:13 13.9 13.9 14.1 10.95 0.052 21.42 12.61
27.01.2023 10:22:23 13.9 13.9 14.1 10.95 0.054 21.41 12.61
27.01.2023 10:22:33 13.9 13.9 14.1 10.94 0.054 21.41 12.61
27.01.2023 10:22:43 13.9 13.9 14.1 10.95 0.056 21.41 12.61
27.01.2023 10:22:53 13.9 13.9 14.1 10.94 0.058 21.41 12.61
27.01.2023 10:23:03 13.9 13.9 14.1 10.94 0.058 21.41 12.61
27.01.2023 10:23:13 13.9 13.9 14.1 10.95 0.058 21.41 12.61
27.01.2023 10:23:23 13.9 13.9 14.1 10.94 0.056 21.41 12.61
27.01.2023 10:23:33 13.9 13.9 14 10.93 0.054 21.41 12.61
27.01.2023 10:23:43 13.9 13.9 14.1 10.95 0.06 21.41 12.61
27.01.2023 10:23:53 13.9 13.9 14.1 10.93 0.061 21.41 12.6
27.01.2023 10:24:03 13.9 13.9 14.1 10.94 0.065 21.41 12.6
27.01.2023 10:24:13 13.9 13.9 14.1 10.93 0.058 21.41 12.6
27.01.2023 10:24:23 13.9 13.9 14.1 10.93 0.063 21.41 12.6
27.01.2023 10:24:33 13.9 13.9 14 10.91 0.063 21.41 12.6
27.01.2023 10:24:43 13.9 13.9 14 10.93 0.063 21.41 12.6
27.01.2023 10:24:53 13.9 13.9 14.1 10.93 0.063 21.41 12.6
27.01.2023 10:25:03 13.9 13.9 14.1 10.92 0.063 21.41 12.6
27.01.2023 10:25:13 13.9 13.9 14.1 10.92 0.063 21.41 12.6
27.01.2023 10:25:23 13.9 13.9 14.1 10.92 0.073 21.41 12.6
27.01.2023 10:25:33 13.9 13.9 14.1 10.91 0.067 21.4 12.6
27.01.2023 10:25:43 13.9 13.9 14 10.91 0.067 21.41 12.6
27.01.2023 10:25:53 13.9 13.9 14.1 10.92 0.069 21.4 12.6
27.01.2023 10:26:03 13.9 13.9 14.1 10.91 0.069 21.4 12.6
27.01.2023 10:26:13 13.9 13.9 14.1 10.9 0.069 21.41 12.6
27.01.2023 10:26:23 13.9 13.9 14 10.9 0.071 21.4 12.6
27.01.2023 10:26:33 13.9 13.9 14 10.89 0.071 21.4 12.6
27.01.2023 10:26:43 13.9 13.9 14 10.92 0.071 21.4 12.6
27.01.2023 10:26:53 13.9 13.9 14 10.91 0.071 21.4 12.6
27.01.2023 10:27:03 13.9 13.9 14.1 10.9 0.073 21.4 12.6
27.01.2023 10:27:13 13.9 13.9 14.1 10.9 0.073 21.4 12.6
27.01.2023 10:27:23 13.9 13.9 14 10.9 0.076 21.4 12.6
27.01.2023 10:27:33 13.9 13.9 14 10.9 0.075 21.4 12.59
27.01.2023 10:27:43 13.9 13.9 14 10.89 0.076 21.4 12.59
27.01.2023 10:27:53 13.9 13.9 14.1 10.9 0.076 21.4 12.59
27.01.2023 10:28:03 13.9 13.9 14 10.89 0.078 21.4 12.59
27.01.2023 10:28:13 13.9 13.9 14.1 10.89 0.078 21.4 12.59
27.01.2023 10:28:23 13.9 13.9 14.1 10.88 0.076 21.4 12.59
27.01.2023 10:28:33 13.9 13.9 14 10.88 0.075 21.4 12.59
27.01.2023 10:28:43 13.9 13.9 14 10.88 0.078 21.4 12.59
27.01.2023 10:28:53 13.9 13.9 14 10.88 0.08 21.4 12.59
27.01.2023 10:29:03 13.9 13.9 14.1 10.89 0.08 21.4 12.59
27.01.2023 10:29:13 13.9 13.9 14.1 10.87 0.078 21.4 12.59
27.01.2023 10:29:23 13.9 13.9 14.1 10.88 0.08 21.4 12.59
27.01.2023 10:29:33 13.9 13.9 14 10.87 0.088 21.4 12.59
27.01.2023 10:29:43 13.9 13.9 14 10.88 0.082 21.4 12.59
27.01.2023 10:29:53 13.9 13.9 14 10.87 0.086 21.4 12.59
27.01.2023 10:30:03 13.9 13.9 14 10.86 0.088 21.4 12.58
27.01.2023 10:30:13 13.9 13.9 14 10.87 0.086 21.4 12.59
27.01.2023 10:30:23 13.9 13.9 14 10.87 0.091 21.4 12.58
27.01.2023 10:30:33 13.9 13.9 14 10.86 0.09 21.4 12.58
27.01.2023 10:30:43 13.9 13.9 14 10.87 0.086 21.4 12.58
27.01.2023 10:30:53 13.9 13.9 14 10.87 0.086 21.4 12.58
27.01.2023 10:31:03 13.9 13.9 14 10.86 0.088 21.4 12.58
27.01.2023 10:31:13 13.9 13.9 14 10.87 0.09 21.4 12.58
27.01.2023 10:31:23 13.9 13.9 14 10.86 0.093 21.4 12.58
27.01.2023 10:31:33 13.9 13.9 14 10.86 0.09 21.39 12.58
27.01.2023 10:31:43 13.9 13.9 14 10.86 0.09 21.39 12.58
27.01.2023 10:31:53 13.9 13.9 14 10.85 0.093 21.4 12.58
27.01.2023 10:32:03 13.9 13.9 14 10.85 0.095 21.4 12.58
27.01.2023 10:32:13 13.9 13.9 14 10.85 0.091 21.39 12.58
27.01.2023 10:32:23 13.9 13.9 14 10.85 0.095 21.39 12.58
27.01.2023 10:32:33 13.9 13.9 14 10.85 0.099 21.39 12.58
27.01.2023 10:32:43 13.9 13.9 14 10.86 0.097 21.38 12.58
27.01.2023 10:32:53 13.9 13.9 13.9 10.83 0.095 21.39 12.58
27.01.2023 10:33:03 13.9 13.9 13.9 10.85 0.097 21.39 12.58
27.01.2023 10:33:13 13.9 13.9 13.9 10.85 0.099 21.38 12.58
27.01.2023 10:33:23 13.9 13.9 13.9 10.84 0.101 21.38 12.58
27.01.2023 10:33:33 13.9 13.9 13.9 10.83 0.097 21.38 12.57
27.01.2023 10:33:43 13.9 13.9 13.9 10.84 0.103 21.38 12.57
27.01.2023 10:33:53 13.9 13.9 13.9 10.83 0.103 21.38 12.57
27.01.2023 10:34:03 13.9 13.9 13.9 10.83 0.103 21.38 12.57
27.01.2023 10:34:13 13.9 13.9 13.9 10.84 0.103 21.38 12.57
27.01.2023 10:34:23 13.9 13.9 13.9 10.84 0.103 21.38 12.57
27.01.2023 10:34:33 13.9 13.9 13.9 10.83 0.103 21.38 12.57
27.01.2023 10:34:43 13.9 13.9 13.9 10.82 0.103 21.38 12.57
27.01.2023 10:34:53 13.9 13.9 13.9 10.83 0.105 21.38 12.57
27.01.2023 10:35:03 13.9 13.9 13.9 10.83 0.105 21.38 12.57
27.01.2023 10:35:13 13.9 13.9 13.9 10.82 0.103 21.38 12.57
27.01.2023 10:35:23 13.9 13.9 13.9 10.81 0.105 21.38 12.57
27.01.2023 10:35:33 13.9 13.9 13.9 10.81 0.108 21.38 12.57
27.01.2023 10:35:43 13.9 13.9 13.9 10.81 0.106 21.38 12.57
27.01.2023 10:35:53 13.9 13.9 13.9 10.83 0.106 21.38 12.57
27.01.2023 10:36:03 13.9 13.9 13.9 10.81 0.112 21.37 12.57
27.01.2023 10:36:13 13.9 13.9 13.9 10.81 0.106 21.38 12.57
27.01.2023 10:36:23 13.9 13.9 13.9 10.81 0.116 21.38 12.57
27.01.2023 10:36:33 13.9 13.9 13.9 10.8 0.114 21.38 12.57
27.01.2023 10:36:43 13.9 13.9 13.9 10.81 0.118 21.38 12.57
27.01.2023 10:36:53 13.9 13.9 13.9 10.81 0.116 21.38 12.57
27.01.2023 10:37:03 13.9 13.9 13.9 10.8 0.118 21.38 12.57
27.01.2023 10:37:13 13.9 13.9 13.9 10.81 0.114 21.38 12.57
27.01.2023 10:37:23 13.9 13.9 13.9 10.79 0.118 21.38 12.56
27.01.2023 10:37:33 14 13.9 13.9 10.8 0.121 21.38 12.56
27.01.2023 10:37:43 14 13.9 13.9 10.8 0.121 21.38 12.56
27.01.2023 10:37:53 14 13.9 13.9 10.8 0.121 21.38 12.56
27.01.2023 10:38:03 13.9 13.9 13.9 10.79 0.121 21.37 12.56
27.01.2023 10:38:13 13.9 13.9 13.9 10.79 0.121 21.38 12.56
27.01.2023 10:38:23 13.9 13.9 13.9 10.79 0.121 21.37 12.56
27.01.2023 10:38:33 13.9 13.9 13.9 10.79 0.116 21.38 12.55
27.01.2023 10:38:43 13.9 13.9 13.9 10.79 0.121 21.38 12.56
27.01.2023 10:38:53 13.9 13.9 13.9 10.78 0.125 21.37 12.55
27.01.2023 10:39:03 13.9 13.9 13.9 10.79 0.127 21.36 12.55
27.01.2023 10:39:13 13.9 13.9 13.9 10.79 0.12 21.37 12.55
27.01.2023 10:39:23 14 13.9 13.9 10.79 0.125 21.38 12.55
